source,title,doi,url,pdf_url,local_pdf,year,venue,query,abstract
crossref,The Modular Arithmetic of Arbitrarily Long Sequences of Digits,10.1109/t-c.1974.223850,https://doi.org/10.1109/t-c.1974.223850,,,1974,IEEE Transactions on Computers,complex phase embedding modular arithmetic sequences,
crossref,Arithmetic Hilbert Modular Functions Ill,10.1007/978-3-663-06816-7_1,https://doi.org/10.1007/978-3-663-06816-7_1,,,1986,Contributions to Several Complex Variables,complex phase embedding modular arithmetic sequences,
crossref,On other two representations of the C-recursive integer sequences by terms in modular arithmetic,10.1016/j.jsc.2025.102433,https://doi.org/10.1016/j.jsc.2025.102433,,,2025,Journal of Symbolic Computation,complex phase embedding modular arithmetic sequences,
crossref,Modular Arithmetic,10.3840/07002153,https://doi.org/10.3840/07002153,,,2007,Wolfram Demonstrations Project,complex phase embedding modular arithmetic sequences,
crossref,Modular Arithmetic,10.3840/002153,https://doi.org/10.3840/002153,,,2007,Wolfram Demonstrations Project,complex phase embedding modular arithmetic sequences,
crossref,The Limit and the Arithmetic Operations of Sequences in Split Complex Plane,10.25236/ajms.2024.050316,https://doi.org/10.25236/ajms.2024.050316,,,2024,Academic Journal of Mathematical Sciences,complex phase embedding modular arithmetic sequences,
crossref,Modular Arithmetic Tables,10.3840/07001807,https://doi.org/10.3840/07001807,,,2007,Wolfram Demonstrations Project,complex phase embedding modular arithmetic sequences,
crossref,Modular Arithmetic Tables,10.3840/001807,https://doi.org/10.3840/001807,,,2007,Wolfram Demonstrations Project,complex phase embedding modular arithmetic sequences,
crossref,On Orthogonal Polynomials Related to Arithmetic and Harmonic Sequences,10.1007/s11785-024-01589-z,https://doi.org/10.1007/s11785-024-01589-z,https://link.springer.com/content/pdf/10.1007/s11785-024-01589-z.pdf,/home/admin/dev/VRA/Novelty/math_search/papers/On_Orthogonal_Polynomials_Related_to_Arithmetic_and_Harmonic_Sequences.pdf,2024,Complex Analysis and Operator Theory,complex phase embedding modular arithmetic sequences,
crossref,Modular arithmetic and residue number systems,10.1017/cbo9780511778568.009,https://doi.org/10.1017/cbo9780511778568.009,,,2010,Finite Precision Number Systems and Arithmetic,complex phase embedding modular arithmetic sequences,
crossref,Modular arithmetic,10.5951/at.9.3.0127,https://doi.org/10.5951/at.9.3.0127,,,1962,The Arithmetic Teacher,complex phase embedding modular arithmetic sequences,<jats:p>A new type a rithmetic obtained from a “clocklike” number system is called modular arithmetic. It may also be called finite number systems because these have only a specific number of numbers in the system. It is used for all machines with dials or with a finite number of numbers. “Scientists find it useful in t he study of atoms which have shells of electrons.” 1 The limited number of numbers in the entire system makes it relatively simple.</jats:p>
crossref,On the cohomology of siegel modular threefolds,10.1007/bfb0095975,https://doi.org/10.1007/bfb0095975,,,1989,Lecture Notes in Mathematics Arithmetic of Complex Manifolds,complex phase embedding modular arithmetic sequences,
crossref,Arithmetic Sequences without Arithmetic Operations,10.20944/preprints202406.0985.v1,https://doi.org/10.20944/preprints202406.0985.v1,,,2024,,complex phase embedding modular arithmetic sequences,"<jats:p>The generation of arithmetic sequences involves arithmetic operations. However, is it possible to generate such sequences without being subject to any arithmetic or related operations, all by just hand? The answer may be negative, as the very rule defining these sequences itself relies on arithmetic operations. Nonetheless, this paper presents a few results demonstrating that the exact sequences of $an$, where, $a \in \{ 2,3,\cdots,9,10\}$ and $n \in \mathbb N \cup \{0\}$, can indeed be generated up to any desired number of terms without relying on any arithmetic operations and others derived from such. This is done by the formation of a specialized table that leverages numerical patterns and the notion of concatenation.</jats:p>"
crossref,Identification of Pyridine Synthase Recognition Sequences Allows a Modular Solid-Phase Route to Thiopeptide Variants,10.1021/jacs.6b05389.s001,https://doi.org/10.1021/jacs.6b05389.s001,,,,,complex phase embedding modular arithmetic sequences,
crossref,Mash Hash Functions (Modular Arithmetic Secure Hash),10.1007/springerreference_346,https://doi.org/10.1007/springerreference_346,,,,SpringerReference,complex phase embedding modular arithmetic sequences,
crossref,Arithmetic Sequences,10.3840/003689,https://doi.org/10.3840/003689,,,2008,Wolfram Demonstrations Project,complex phase embedding modular arithmetic sequences,
crossref,Green currents for modular cycles in arithmetic quotients of complex hyperballs,10.2140/pjm.2006.227.311,https://doi.org/10.2140/pjm.2006.227.311,,,2006,Pacific Journal of Mathematics,complex phase embedding modular arithmetic sequences,
crossref,Arithmetic Sequences,10.3840/08003689,https://doi.org/10.3840/08003689,,,2008,Wolfram Demonstrations Project,complex phase embedding modular arithmetic sequences,
crossref,Modular arithmetic,10.1142/9789819822270_0007,https://doi.org/10.1142/9789819822270_0007,,,2025,Axiomatic Arithmetic,complex phase embedding modular arithmetic sequences,
crossref,Modular Groups and Modular Functions,10.1017/9781009602129.006,https://doi.org/10.1017/9781009602129.006,,,2025,Elliptic Curves,complex phase embedding modular arithmetic sequences,
crossref,KEMA: Knowledge-Graph Embedding Using Modular Arithmetic,10.18293/seke2022-036,https://doi.org/10.18293/seke2022-036,,,2022,International Conferences on Software Engineering and Knowledge Engineering Proceedings of the 34th International Conference on Software Engineering and Knowledge Engineering,complex phase embedding modular arithmetic sequences,
crossref,Volumes of fundamental domains of Picard modular groups,10.1007/bfb0095969,https://doi.org/10.1007/bfb0095969,,,1989,Lecture Notes in Mathematics Arithmetic of Complex Manifolds,complex phase embedding modular arithmetic sequences,
crossref,Modular properties and decompositions of arithmetic matroids,10.14711/thesis-b1627131,https://doi.org/10.14711/thesis-b1627131,,,,,complex phase embedding modular arithmetic sequences,
crossref,Modular Groups and Modular Functions,10.1017/cbo9781139174879.005,https://doi.org/10.1017/cbo9781139174879.005,,,1997,Elliptic Curves,complex phase embedding modular arithmetic sequences,
crossref,Efficient Word Size Modular Arithmetic,10.1109/arith51176.2021.00036,https://doi.org/10.1109/arith51176.2021.00036,,,2021,2021 IEEE 28th Symposium on Computer Arithmetic (ARITH),complex phase embedding modular arithmetic sequences,
crossref,Arithmetic circuit fault detection by modular encoding,10.1109/arith.1978.6155757,https://doi.org/10.1109/arith.1978.6155757,,,1978,1978 IEEE 4th Symposium onomputer Arithmetic (ARITH),complex phase embedding modular arithmetic sequences,
crossref,Arithmetic and analytical aspects of Siegel modular forms,10.53846/goediss-8208,https://doi.org/10.53846/goediss-8208,,,,,complex phase embedding modular arithmetic sequences,
crossref,Modular Arithmetic,10.1017/9781108768863.006,https://doi.org/10.1017/9781108768863.006,,,2019,Where Do Numbers Come From?,complex phase embedding modular arithmetic sequences,
crossref,Primes in Arithmetic Progressions and other Sequences,10.1007/springerreference_29078,https://doi.org/10.1007/springerreference_29078,,,,SpringerReference,complex phase embedding modular arithmetic sequences,
crossref,Quantization and Modular Forms,10.1007/978-3-7643-8791-4_4,https://doi.org/10.1007/978-3-7643-8791-4_4,,,,Quantization and Arithmetic,complex phase embedding modular arithmetic sequences,
crossref,Vector-covering systems of arithmetic sequences,10.21136/cmj.1974.101260,https://doi.org/10.21136/cmj.1974.101260,,,1974,Czechoslovak Mathematical Journal,complex phase embedding modular arithmetic sequences,
crossref,The arithmetic of modular forms,10.1142/9781848162143_0005,https://doi.org/10.1142/9781848162143_0005,,,2008,Modular Forms,complex phase embedding modular arithmetic sequences,
crossref,Information technology. Security techniques. Hash-functions,10.3403/01640663u,https://doi.org/10.3403/01640663u,,,,,complex phase embedding modular arithmetic sequences,
crossref,Data Embedding in Color Images: A Secure Data Communication Framework Based on Modular Arithmetic,10.1007/978-981-15-8711-5_8,https://doi.org/10.1007/978-981-15-8711-5_8,,,2021,Algorithms for Intelligent Systems Multimedia Security,complex phase embedding modular arithmetic sequences,
crossref,Modular Arithmetic,10.1201/b15895-5,https://doi.org/10.1201/b15895-5,,,2008,Fundamental Number Theory with Applications,complex phase embedding modular arithmetic sequences,
crossref,Information technology. Security techniques. Hash-functions,10.3403/01640663,https://doi.org/10.3403/01640663,,,,,complex phase embedding modular arithmetic sequences,
crossref,The Arithmetic of Modular Forms,10.1142/9781783265466_0004,https://doi.org/10.1142/9781783265466_0004,,,2015,Modular Forms,complex phase embedding modular arithmetic sequences,
crossref,Some arithmetic,10.1017/9781009457521.021,https://doi.org/10.1017/9781009457521.021,,,2024,Modular Forms and String Theory,complex phase embedding modular arithmetic sequences,
crossref,Modular arithmetic*,10.1201/9781482285819-11,https://doi.org/10.1201/9781482285819-11,,,2018,Experimental Mathematics with Maple,complex phase embedding modular arithmetic sequences,
crossref,Modular Arithmetic,10.1201/b17011-24,https://doi.org/10.1201/b17011-24,,,2014,Computing,complex phase embedding modular arithmetic sequences,
crossref,Modular Arithmetic,10.1017/9781108955911.004,https://doi.org/10.1017/9781108955911.004,,,2021,Algebra,complex phase embedding modular arithmetic sequences,
crossref,Modular arithmetic application to calculate the azimuth for phase direction finder,10.20535/radap.2016.64.23-32,https://doi.org/10.20535/radap.2016.64.23-32,,,2016,Visnyk NTUU KPI Seriia - Radiotekhnika Radioaparatobuduvannia,complex phase embedding modular arithmetic sequences,
crossref,Modular and quasi-modular arithmetic,10.1007/bf02575700,https://doi.org/10.1007/bf02575700,http://link.springer.com/content/pdf/10.1007/BF02575700.pdf,/home/admin/dev/VRA/Novelty/math_search/papers/Modular_and_quasi-modular_arithmetic.pdf,1969,Calcolo,complex phase embedding modular arithmetic sequences,
crossref,Casting out of nines with modular or clock arithmetic,10.5951/at.12.6.0460,https://doi.org/10.5951/at.12.6.0460,,,1965,The Arithmetic Teacher,complex phase embedding modular arithmetic sequences,"<jats:p>Teachers have been teaching children to check their arithmetic problems by the casting out of nines for many years. In most instances this operation was learned as a trick or gimmick that worked, but that seemed to have no explanation.</jats:p>"
crossref,Modular Arithmetic,10.1201/9781003402633-27,https://doi.org/10.1201/9781003402633-27,,,2024,Electronic String Art,complex phase embedding modular arithmetic sequences,
arxiv,The $q$-unit circle,,http://arxiv.org/abs/1801.09147v1,http://arxiv.org/pdf/1801.09147v1,/home/admin/dev/VRA/Novelty/math_search/papers/The_q_-unit_circle.pdf,,,unit circle representation modular exponentiation,"We define the unit circle for global function fields. We demonstrate that
this unit circle (endearingly termed the \emph{$q$-unit circle}, after the
finite field $\mathbb{F}_q$ of $q$ elements) enjoys all of the properties akin
to the classical unit circle: center, curvature, roots of unity in completions,
integrality conditions, embedding into a finite-dimensional vector space over
the real line, a partition of the ambient space into concentric circles,
M\""{o}bius transformations, a Dirichlet approximation theorem, a reciprocity
law, and much more. We extend the exponential action of Carlitz by polynomials
to an action by the real line. We show that mutually tangent horoballs solve a
Descartes-type relation arising from reciprocity. We define the hyperbolic
plane, which we prove is uniquely determined by the $q$-unit circle. We give
the associated modular forms and Eisenstein series."
arxiv,"A Borg-Type Theorem Associated with Orthogonal Polynomials on the Unit
  Circle",,http://arxiv.org/abs/math/0501212v1,http://arxiv.org/pdf/math/0501212v1,/home/admin/dev/VRA/Novelty/math_search/papers/A_Borg-Type_Theorem_Associated_with_Orthogonal_Polynomials_on_the_Unit_Circle.pdf,,,unit circle representation modular exponentiation,"We prove a general Borg-type result for reflectionless unitary
Cantero-Moral-Velazquez (CMV) operators U associated with orthogonal
polynomials on the unit circle. The spectrum of U is assumed to be a connected
arc on the unit circle. This extends a recent result of Simon in connection
with a periodic CMV operator with spectrum the whole unit circle.
  In the course of deriving the Borg-type result we also use exponential
Herglotz representations of Caratheodory functions to prove an infinite
sequence of trace formulas connected with the CMV operator U."
arxiv,On Length Sets of Subarithmetic Hyperbolic Manifolds,,http://arxiv.org/abs/2201.10955v1,http://arxiv.org/pdf/2201.10955v1,/home/admin/dev/VRA/Novelty/math_search/papers/On_Length_Sets_of_Subarithmetic_Hyperbolic_Manifolds.pdf,,,unit circle representation modular exponentiation,"We formulate the Asymptotic Length-Saturation Conjecture on the length sets
of closed geodesics on hyperbolic manifolds whose fundamental groups are
subarithmetic, that is, contained in an arithmetic group. We prove the first
instance of the conjecture for punctured, Zariski dense covers of the modular
surface. The tools involved include the Orbital Circle Method, expansion and
counting in congruence towers of thin groups, estimates for exponential sums,
bilinear forms, and quadratic L-series."
arxiv,"Meromorphic Szego functions and asymptotic series for Verblunsky
  coefficients",,http://arxiv.org/abs/math/0502489v1,http://arxiv.org/pdf/math/0502489v1,/home/admin/dev/VRA/Novelty/math_search/papers/Meromorphic_Szego_functions_and_asymptotic_series_for_Verblunsky_coefficients.pdf,,,unit circle representation modular exponentiation,"We prove that the Szeg\H{o} function, $D(z)$, of a measure on the unit circle
is entire meromorphic if and only if the Verblunsky coefficients have an
asymptotic expansion in exponentials. We relate the positions of the poles of
$D(z)^{-1}$ to the exponential rates in the asymptotic expansion. Basically,
either set is contained in the sets generated from the other by considering
products of the form, $z_1 ... z_\ell \bar z_{\ell-1}... \bar z_{2\ell-1}$ with
$z_j$ in the set. The proofs use nothing more than iterated Szeg\H{o} recursion
at $z$ and $1/\bar z$."
arxiv,"Trace Formulas and a Borg-type Theorem for CMV Operators with
  Matrix-valued Coefficients",,http://arxiv.org/abs/0808.0382v1,http://arxiv.org/pdf/0808.0382v1,/home/admin/dev/VRA/Novelty/math_search/papers/Trace_Formulas_and_a_Borg-type_Theorem_for_CMV_Operators_with_Matrix-valued_Coefficients.pdf,,,unit circle representation modular exponentiation,"We prove a general Borg-type inverse spectral result for a reflectionless
unitary CMV operator (CMV for Cantero, Moral, and Vel\'azquez) associated with
matrix-valued Verblunsky coefficients. More precisely, we find an explicit
formula for the Verblunsky coefficients of a reflectionless CMV matrix whose
spectrum consists of a connected arc on the unit circle. This extends a recent
result on CMV operators with scalar-valued coefficients. In the course of
deriving the Borg-type result we also use exponential Herglotz representations
of Caratheodory matrix-valued functions to prove an infinite sequence of trace
formulas connected with CMV operators."
arxiv,Apollonian Packings and Kac-Moody Root Systems,,http://arxiv.org/abs/2102.02172v1,http://arxiv.org/pdf/2102.02172v1,/home/admin/dev/VRA/Novelty/math_search/papers/Apollonian_Packings_and_Kac-Moody_Root_Systems.pdf,,,unit circle representation modular exponentiation,"We study Apollonian circle packings in relation to a certain rank 4
indefinite Kac-Moody root system $\Phi$. We introduce the generating function
$Z(\mathbf{s})$ of a packing, an exponential series in four variables with an
Apollonian symmetry group, which relates to Weyl-Kac characters of $\Phi$. By
exploiting the presence of affine and Lorentzian hyperbolic root subsystems of
$\Phi$, with automorphic Weyl denominators, we express $Z(\mathbf{s})$ in terms
of Jacobi theta functions and the Siegel modular form $\Delta_5$. We also show
that the domain of convergence of $Z(\mathbf{s})$ is the Tits cone of $\Phi$,
and discover that this domain inherits the intricate geometric structure of
Apollonian packings."
arxiv,Remarks on a special value of the Selberg zeta function,,http://arxiv.org/abs/0902.4225v2,http://arxiv.org/pdf/0902.4225v2,/home/admin/dev/VRA/Novelty/math_search/papers/Remarks_on_a_special_value_of_the_Selberg_zeta_function.pdf,,,unit circle representation modular exponentiation,"Let $\CmZ_{Y_0(N)}$ be the constant term of the logarithmic derivative at
$s=1$ of the Selberg zeta function of the modular curve $Y_0(N)$. Jorgenson and
Kramer established the bound $\CmZ_{Y_0(N)}=O_\epsilon(N^\epsilon)$,
$\epsilon&gt;0$ by relating it to geometric invariants. In this article we give,
for $N$ prime, another proof via $L$-functions and exponential sums improving
on a previous approach by Abbes-Ullmo and Michel-Ullmo. We further derive a
power of $\log N$ bound along the same line."
arxiv,Efficient Unitary T-designs from Random Sums,,http://arxiv.org/abs/2402.09335v1,http://arxiv.org/pdf/2402.09335v1,/home/admin/dev/VRA/Novelty/math_search/papers/Efficient_Unitary_T-designs_from_Random_Sums.pdf,,,unit circle representation modular exponentiation,"Unitary $T$-designs play an important role in quantum information, with
diverse applications in quantum algorithms, benchmarking, tomography, and
communication. Until now, the most efficient construction of unitary
$T$-designs for $n$-qudit systems has been via random local quantum circuits,
which have been shown to converge to approximate $T$-designs in the diamond
norm using $O(T^{5+o(1)} n^2)$ quantum gates. In this work, we provide a new
construction of $T$-designs via random matrix theory using $\tilde{O}(T^2 n^2)$
quantum gates. Our construction leverages two key ideas. First, in the spirit
of central limit theorems, we approximate the Gaussian Unitary Ensemble (GUE)
by an i.i.d. sum of random Hermitian matrices. Second, we show that the product
of just two exponentiated GUE matrices is already approximately Haar random.
Thus, multiplying two exponentiated sums over rather simple random matrices
yields a unitary $T$-design, via Hamiltonian simulation. A central feature of
our proof is a new connection between the polynomial method in quantum query
complexity and the large-dimension ($N$) expansion in random matrix theory. In
particular, we show that the polynomial method provides exponentially improved
bounds on the high moments of certain random matrix ensembles, without
requiring intricate Weingarten calculations. In doing so, we define and solve a
new type of moment problem on the unit circle, asking whether a finite number
of equally weighted points, corresponding to eigenvalues of unitary matrices,
can reproduce a given set of moments."
arxiv,"LIMDD: A Decision Diagram for Simulation of Quantum Computing Including
  Stabilizer States",,http://arxiv.org/abs/2108.00931v5,http://arxiv.org/pdf/2108.00931v5,/home/admin/dev/VRA/Novelty/math_search/papers/LIMDD_A_Decision_Diagram_for_Simulation_of_Quantum_Computing_Including_Stabilizer_States.pdf,,,unit circle representation modular exponentiation,"Efficient methods for the representation and simulation of quantum states and
quantum operations are crucial for the optimization of quantum circuits.
Decision diagrams (DDs), a well-studied data structure originally used to
represent Boolean functions, have proven capable of capturing relevant aspects
of quantum systems, but their limits are not well understood. In this work, we
investigate and bridge the gap between existing DD-based structures and the
stabilizer formalism, an important tool for simulating quantum circuits in the
tractable regime. We first show that although DDs were suggested to succinctly
represent important quantum states, they actually require exponential space for
certain stabilizer states. To remedy this, we introduce a more powerful
decision diagram variant, called Local Invertible Map-DD (LIMDD). We prove that
the set of quantum states represented by poly-sized LIMDDs strictly contains
the union of stabilizer states and other decision diagram variants. Finally,
there exist circuits which LIMDDs can efficiently simulate, while their output
states cannot be succinctly represented by two state-of-the-art simulation
paradigms: the stabilizer decomposition techniques for Clifford + $T$ circuits
and Matrix-Product States. By uniting two successful approaches, LIMDDs thus
pave the way for fundamentally more powerful solutions for simulation and
analysis of quantum computing."
arxiv,"Limit laws of maximal Birkhoff sums for circle rotations via quantum
  modular forms",,http://arxiv.org/abs/2303.07796v1,http://arxiv.org/pdf/2303.07796v1,/home/admin/dev/VRA/Novelty/math_search/papers/Limit_laws_of_maximal_Birkhoff_sums_for_circle_rotations_via_quantum_modular_forms.pdf,,,unit circle representation modular exponentiation,"In this paper, we show how quantum modular forms naturally arise in the
ergodic theory of circle rotations. Working with the classical Birkhoff sum
$S_N(\alpha)=\sum_{n=1}^N (\{ n \alpha \}-1/2)$, we prove that the maximum and
the minimum as well as certain exponential moments of $S_N(r)$ as functions of
$r \in \mathbb{Q}$ satisfy a direct analogue of Zagier's continuity conjecture,
originally stated for a quantum invariant of the figure-eight knot. As a
corollary, we find the limit distribution of $\max_{0 \le N&lt;M} S_N(\alpha)$ and
$\min_{0 \le N&lt;M} S_N(\alpha)$ with a random $\alpha \in [0,1]$."
arxiv,Le système d'Euler de Kato,,http://arxiv.org/abs/1211.3767v1,http://arxiv.org/pdf/1211.3767v1,/home/admin/dev/VRA/Novelty/math_search/papers/Le_système_d_Euler_de_Kato.pdf,,,unit circle representation modular exponentiation,"This article is devoted to Kato's Euler system, which is constructed from
modular unites, and to its image by the dual exponential map (so called Kato's
reciprocity law). The presentation in this article is different form Kato's
original one, and dual exponential map in this article is a modification of
Colmez's construction in his Bourbaki talk."
arxiv,"Spectral gap and exponential mixing on geometrically finite hyperbolic
  manifolds",,http://arxiv.org/abs/2001.03377v2,http://arxiv.org/pdf/2001.03377v2,/home/admin/dev/VRA/Novelty/math_search/papers/Spectral_gap_and_exponential_mixing_on_geometrically_finite_hyperbolic_manifolds.pdf,,,unit circle representation modular exponentiation,"Let $\mathcal{M}=\Gamma\backslash\mathbb{H}^{d+1}$ be a geometrically finite
hyperbolic manifold with critical exponent exceeding $d/2$. We obtain a precise
asymptotic expansion of the matrix coefficients for the geodesic flow in
$L^2(\mathrm{T}^1(\mathcal{M}))$, with exponential error term essentially as
good as the one given by the spectral gap for the Laplace operator on
$L^2(\mathcal{M})$ due to Lax and Phillips. Combined with the work of Bourgain,
Gamburd, and Sarnak and its generalization by Golsefidy and Varju on expanders,
this implies uniform exponential mixing for congruence covers of $\mathcal{M}$
when $\Gamma$ is a Zariski dense subgroup contained in an arithmetic subgroup
of $\mathrm{SO}^{\circ}(d+1,1)$."
arxiv,Representation of Squares by Nonsingular Cubic Forms,,http://arxiv.org/abs/2204.09396v1,http://arxiv.org/pdf/2204.09396v1,/home/admin/dev/VRA/Novelty/math_search/papers/Representation_of_Squares_by_Nonsingular_Cubic_Forms.pdf,,,unit circle representation modular exponentiation,"We prove an asymptotic formula for the number of representations of squares
by nonsingular cubic forms in six or more variables. The main ingredients of
the proof are Heath-Brown's form of the Circle Method and various exponential
sum results. The depth of the exponential sum results is comparable to Hooley's
work on cubic forms in nine variables, in particular we prove an analogue of
Katz' bound."
